Mes,Anio,Fecha,Total,Alimentos,Vivienda,Vestuario,Salud,Educacion,Diversion,Transporte,Comunicaciones,Otros Gastos
Febrero,2014,01/02/2014,115.26,114.44,119.71,100.79,125.23,131.01,101.68,110.74,108.87,112.67
Marzo,2014,01/03/2014,115.71,115.14,120.16,100.98,125.96,131.02,101.06,110.99,110.55,112.88
Abril,2014,01/04/2014,116.24,115.95,120.81,101.18,126.41,131.02,101.14,111.44,110.47,113.15
Mayo,2014,01/05/2014,116.81,117.31,121.04,101.39,126.69,131.02,103.44,111.49,110.44,113.37
Junio,2014,01/06/2014,116.91,117.02,121.53,101.48,126.81,131.02,103.66,111.61,110.35,113.57
Julio,2014,14/07/2014,117.09,117.44,121.87,101.58,126.95,131.03,101.97,111.58,110.33,113.68
Agosto,2014,14/08/2014,117.33,117.85,122.22,101.54,127.13,131.16,101.94,111.59,110.31,113.78
Septiembre,2014,14/09/2014,117.49,118.04,122.47,101.57,127.33,131.38,101.92,111.61,110.29,113.93
Octubre,2014,01/10/2014,117.68,118.01,122.78,101.77,127.57,131.39,101.57,112.21,110.29,114.07
Noviembre,2014,01/11/2014,117.84,118.08,123.02,101.87,127.58,131.4,102.12,112.27,110.96,114.23
Diciembre,2014,01/12/2014,118.15,118.23,123.13,102.08,127.82,131.41,106.09,112.87,110.93,114.35
Enero,2015,01/01/2015,118.91,120.03,123.13,102.15,128.77,131.44,106.49,114.06,110.95,114.84
Febrero,2015,01/02/2015,120.28,122.19,123.78,102.28,129.88,137.16,105.76,114.57,113.6,115.53
Marzo,2015,15/03/2015,120.98,123.63,124.49,102.5,131.18,137.2,105.2,114.4,114.64,116.26
Abril,2015,01/04/2015,121.63,124.88,125.13,102.74,131.95,137.2,105.53,114.58,114.59,116.86
Mayo,2015,01/05/2015,121.95,124.54,125.98,102.97,132.28,137.23,108.43,114.54,114.59,117.75
Junio,2015,01/06/2015,122.08,124.27,125.89,103.23,132.55,137.26,109.81,115.35,114.99,118.15
Julio,2015,01/07/2015,122.31,124.1,126.62,103.41,132.9,137.3,107.01,115.82,115.58,118.64
Agosto,2015,01/08/2015,122.9,125.05,127.1,103.52,133.1,137.55,107.04,116.53,115.61,119.23
Septiembre,2015,01/09/2015,123.78,126.65,127.6,103.84,133.26,137.91,108.63,117.44,115.56,119.99
Octubre,2015,01/10/2015,124.62,128.4,128.29,104.33,133.71,138,108.55,117.87,115.62,120.59
Noviembre,2015,01/11/2015,125.37,129.66,129.17,104.84,134.09,138.07,109.48,117.86,116.06,121.36
Diciembre,2015,01/12/2015,126.15,131.05,129.75,105.13,134.59,138.13,110.88,118.37,116.13,122.24
Enero,2016,01/01/2016,127.78,134.75,130.57,105.68,136.6,138.23,112.11,119.21,116.49,123.45
Febrero,2016,01/02/2016,129.41,136.68,131.59,106.18,138.23,145.92,113.23,120.2,116.49,124.9
Marzo,2016,01/03/2016,130.63,138.9,132.69,106.67,139.87,145.96,112.14,120.52,119.14,126.21
Abril,2016,01/04/2016,131.28,140.65,132.51,107.13,141.04,146,112.31,121.07,119.16,127.22
Mayo,2016,01/05/2016,131.95,141.3,133.51,107.53,141.77,146.03,112.54,121.67,119.13,127.95
Junio,2016,01/06/2016,132.58,142.02,134.04,107.95,142.71,146.08,116.1,122.16,119.18,128.54
Julio,2016,01/07/2016,133.27,143.59,134.64,108.2,143.3,146.13,114.1,122.39,119.96,129.04
Agosto,2016,01/08/2016,132.85,141.38,134.84,108.44,144.01,146.44,114,122.81,119.89,129.56
Septiembre,2016,01/09/2016,132.78,140.09,135.29,108.67,144.74,146.86,113.1,123.05,121.65,130.07
Octubre,2016,01/10/2016,132.7,139.35,135.43,109.02,145.05,146.87,113.22,123.36,121.42,130.36
Noviembre,2016,01/11/2016,132.85,139.43,135.67,109.2,145.25,146.88,114.03,123.31,121.41,130.69
Diciembre,2016,01/12/2016,133.4,140.51,136.02,109.31,145.55,146.89,115.37,123.66,121.61,131.11
Enero,2017,01/01/2017,134.77,142.79,136.99,109.5,147.43,146.93,116.61,124.82,123.54,132.49
Febrero,2017,01/02/2017,136.12,143.81,137.57,110.06,149.05,156.89,115.48,125.32,125.57,134.64
Marzo,2017,01/03/2017,136.76,143.97,138.3,110.49,150.96,156.96,116.08,126.05,127.5,136.16
Abril,2017,01/04/2017,137.4,144.16,139.23,110.91,152.05,156.98,116.39,127.31,127.85,136.96
Mayo,2017,01/05/2017,137.71,144.26,139.91,111.08,152.7,156.99,116.27,127.55,127.79,137.24
Junio,2017,01/06/2017,137.87,143.96,140.25,111.29,153.24,157.01,119.59,127.58,127.73,137.4
Julio,2017,01/07/2017,137.8,143.88,140.1,111.36,153.57,157.06,118.53,127.58,127.74,137.68
Agosto,2017,01/08/2017,137.99,143.77,140.72,111.3,153.8,157.27,118.6,127.61,127.72,137.95
Septiembre,2017,01/09/2017,138.05,143.19,141.21,111.41,153.96,157.74,118.23,127.8,127.77,138.21
Octubre,2017,01/10/2017,138.07,142.85,141.51,111.32,154.25,157.75,118.6,127.84,127.77,138.34
Noviembre,2017,01/11/2017,138.32,142.93,141.94,111.47,154.49,157.76,119.4,128.09,127.9,138.57
Diciembre,2017,01/12/2017,138.85,143.21,142.13,111.48,154.77,157.76,124.24,129.24,129.43,138.69
Enero,2018,01/01/2018,139.72,144.93,142.59,111.56,156.57,157.77,124.74,130.15,129.48,139.36
Febrero,2018,01/02/2018,140.71,145.16,143.13,111.59,157.89,167.01,122.38,131.49,129.78,140.17
Marzo,2018,01/03/2018,141.05,145.38,143.71,111.56,159.32,167.05,121.91,131.94,129.78,140.4
Abril,2018,01/04/2018,141.7,146.34,144.84,111.56,160.01,167.06,121.52,132.05,129.78,140.69
Mayo,2018,01/05/2018,142.06,146.43,145.49,111.53,160.12,167.06,122.31,132.56,129.76,141.26
Junio,2018,01/06/2018,142.28,146.46,145.6,111.6,160.51,167.08,122.36,133.01,131.95,141.44
Julio,2018,01/07/2018,142.1,145.64,145.97,111.54,160.78,167.09,121.85,133.12,130.11,141.47
Agosto,2018,01/08/2018,142.27,145.69,146.49,111.61,160.99,167.3,121.01,133.19,129.87,141.53
Septiembre,2018,01/09/2018,142.5,146.12,146.75,111.55,161.3,167.8,120.85,133.19,129.91,141.61
Octubre,2018,01/10/2018,142.67,146.06,147.28,111.61,161.42,167.8,120.76,133.45,129.84,141.48
Noviembre,2018,01/11/2018,142.84,146.1,147.55,111.76,161.34,167.81,121.97,133.56,129.83,141.66
Diciembre,2018,01/12/2018,143.27,146.69,148,111.84,161.48,167.83,122.81,134.06,129.8,141.87
